market_side,timestamp_utc,open_cents,close_cents,high_cents,low_cents,yes_bid_close_cents,yes_ask_close_cents,volume,open_interest
SIU,2026-08-28T10:00:00+00:00,,,,,90.0,93.0,0.0,456.28
SIU,2026-08-28T14:00:00+00:00,,,,,90.0,93.0,0.0,456.28
SIU,2026-08-28T15:00:00+00:00,,,,,89.0,93.0,0.0,456.28
SIU,2026-08-28T22:00:00+00:00,89.0,89.0,89.0,89.0,71.0,84.0,250.0,456.28
SIU,2026-08-28T23:00:00+00:00,,,,,66.0,87.0,0.0,456.28
SIU,2026-08-29T00:00:00+00:00,,,,,70.0,87.0,0.0,456.28
SIU,2026-08-29T01:00:00+00:00,,,,,70.0,89.0,0.0,456.28
SIU,2026-08-29T02:00:00+00:00,,,,,70.0,89.0,0.0,456.28
SIU,2026-08-29T04:00:00+00:00,,,,,76.0,87.0,0.0,456.28
SIU,2026-08-29T05:00:00+00:00,,,,,66.0,85.0,0.0,456.28
SIU,2026-08-29T06:00:00+00:00,,,,,70.0,84.0,0.0,456.28
SIU,2026-08-29T07:00:00+00:00,,,,,70.0,88.0,0.0,456.28
SIU,2026-08-29T08:00:00+00:00,,,,,70.0,87.0,0.0,456.28
SIU,2026-08-29T09:00:00+00:00,,,,,70.0,86.0,0.0,456.28
SIU,2026-08-29T10:00:00+00:00,,,,,70.0,89.0,0.0,456.28
SIU,2026-08-29T11:00:00+00:00,,,,,70.0,89.0,0.0,456.28
SIU,2026-08-29T12:00:00+00:00,,,,,70.0,89.0,0.0,456.28
SIU,2026-08-29T13:00:00+00:00,89.0,89.0,89.0,89.0,70.0,89.0,1.0,457.28
SIU,2026-08-29T14:00:00+00:00,,,,,66.0,89.0,0.0,457.28
SIU,2026-08-29T15:00:00+00:00,,,,,66.0,89.0,0.0,457.28
SIU,2026-08-29T16:00:00+00:00,66.0,65.0,66.0,65.0,65.0,89.0,13.68,470.96
SIU,2026-08-29T17:00:00+00:00,,,,,65.0,89.0,0.0,470.96
SIU,2026-08-29T18:00:00+00:00,,,,,65.0,89.0,0.0,470.96
